workout_id	workout_name	movement_type	visual_type	experience_levels	required_equipment	environment	intensity	impact	fatigue	order_rank	movement_pattern	primary_muscles	secondary_muscles	goals	tags	duration_min	prescription	rep_range_min	rep_range_max	load_target	training_style	heavy_eligible	rest	progression	regression	contraindications	avoid_with	substitutions	cue_1	cue_2	cue_3	media_src
readiness_check	Readiness Check	recovery	yoga	"beginner,intermediate,advanced"	none	"home,gym,outdoor"	low	low	low	1	readiness	nervous_system	none	"recovery,longevity,balance"	"readiness,sleep,recovery"	3	"Rate sleep, soreness, energy, and pain."			light	recovery	no	None	Track trends for smarter substitutions.	Use a one-word check-in.	none	none	recovery_check	Be honest rather than heroic.	Sharp pain changes the plan.	Low readiness can still earn XP.	
march_in_place	March in Place	recovery	runner	"beginner,intermediate,advanced"	none	"home,gym"	low	low	low	2	locomotion	"hips,calves"	core	"recovery,endurance,balance"	"warmup,low_impact,beginner"	5	5 minutes easy marching			light	recovery	no	None	Add arm swing or time.	Walk slowly in place.	balance_limits	none	"easy_walk,step_touch"	Stand tall.	Keep steps quiet.	Breathe easily.	
easy_walk	Easy Walk	cardio	runner	"beginner,intermediate,advanced"	none	"home,gym,outdoor"	low	low	low	2	locomotion	"calves,glutes"	heart_lungs	"endurance,recovery,longevity"	"walking,low_impact,outdoor"	15	15 minutes easy walking			light	aerobic	no	None	Add 2 to 5 minutes.	Break into 5-minute blocks.	severe_shortness_of_breath	none	"march_in_place,nature_walk"	Keep the pace conversational.	Relax shoulders and hands.	Stop for chest pain or dizziness.	
nature_walk	Nature Walk	cardio	runner	"beginner,intermediate,advanced"	none	outdoor	low	low	low	2	locomotion	"calves,glutes"	heart_lungs	"endurance,recovery,longevity"	"walking,outdoor,recovery,longevity"	28	28 minutes easy outdoor walking			light	aerobic	no	None	Add distance before pace.	Use a flat route.	severe_shortness_of_breath	none	"easy_walk,outdoor_quest_walk"	Keep the pace easy.	Relax your jaw and hands.	Notice breathing and posture.	
brisk_walk	Brisk Walk	cardio	runner	"beginner,intermediate,advanced"	none	"home,gym,outdoor"	medium	low	medium	7	locomotion	"calves,glutes"	heart_lungs	"endurance,conditioning,longevity"	"walking,endurance,low_impact"	24	24 minutes brisk walking			light	aerobic	no	None	Add 1 faster interval.	Reduce pace to easy.	severe_shortness_of_breath	none	"easy_walk,fast_walk_intervals"	Walk tall.	Use a pace you can sustain.	Finish feeling like you could do more.	assets/brisk-walk.png
fast_walk_intervals	Fast Walk Intervals	cardio	runner	"beginner,intermediate,advanced"	none	"home,gym,outdoor"	high	low	medium	7	locomotion	"calves,glutes"	heart_lungs	"conditioning,endurance"	"fat_loss,intervals,walking"	20	Alternate 2 hard minutes with 2 easy minutes.			light	aerobic	no	Easy walk between intervals	Add one interval.	Use 1 hard minute instead.	severe_shortness_of_breath	none	"brisk_walk,bike_intervals"	Keep hard efforts controlled.	Recover fully before the next push.	Stop if form falls apart.	
run_walk_intervals	Run/Walk Intervals	cardio	runner	"beginner,intermediate,advanced"	none	outdoor	medium	medium	medium	7	locomotion	"calves,glutes,quads"	heart_lungs	"endurance,conditioning"	"running,endurance,intervals"	30	Alternate 3 minutes jogging with 2 minutes walking.			light	aerobic	no	Walk between jogs	Add one interval or extend jogs.	Walk only.	"knee_pain,acute_injury,severe_shortness_of_breath"	none	"brisk_walk,bike_intervals"	Start with five easy minutes.	Keep the pace conversational.	Stop before impact feels sloppy.	
easy_jog	Easy Jog	cardio	runner	"intermediate,advanced"	none	outdoor	medium	medium	medium	7	locomotion	"calves,glutes,quads"	heart_lungs	endurance	"running,outdoor,endurance"	22	22 minutes easy jogging			light	aerobic	no	None	Add 3 to 5 minutes.	Use run/walk intervals.	"knee_pain,acute_injury,severe_shortness_of_breath"	run_walk_intervals	"run_walk_intervals,brisk_walk"	Warm up first.	Run at a conversational effort.	Keep strides quiet.	
outdoor_quest_walk	Outdoor Quest Walk	cardio	runner	"beginner,intermediate,advanced"	none	outdoor	medium	low	medium	7	locomotion	"calves,glutes"	heart_lungs	"endurance,recovery,outdoor"	"outdoor,endurance,walking"	35	35 minutes outdoor walk			light	aerobic	no	None	Add a small hill or distance.	Shorten route.	severe_shortness_of_breath	none	"nature_walk,brisk_walk"	Pick a route with one small challenge.	Keep the pace sustainable.	Finish with two easy minutes.	
stationary_bike_easy	Easy Bike Ride	cardio	runner	"beginner,intermediate,advanced"	"bike,cardio_machine"	"home,gym,outdoor"	low	low	low	7	locomotion	"quads,glutes"	heart_lungs	"endurance,recovery,longevity"	"low_impact,cycling,recovery"	20	20 minutes easy cycling			light	aerobic	no	None	Add 5 minutes.	Lower resistance.	severe_shortness_of_breath	none	"easy_walk,elliptical_easy"	Keep cadence smooth.	Stay below hard breathing.	Use low resistance.	
